id,cart_id,product_id,quantity
1,1,7,1
2,1,78,2
3,1,164,2
4,2,627,1
5,2,179,2
6,2,273,2
7,3,583,1
8,3,342,1
9,3,524,2
10,4,474,2
11,4,463,1
12,5,521,1
13,5,89,1
14,6,225,1
15,6,575,1
16,7,95,2
17,8,454,2
18,8,210,1
19,8,265,2
20,9,217,1
21,9,604,2
22,10,370,2
23,11,375,1
24,11,583,2
25,11,643,2
26,12,256,2
27,12,288,2
28,13,235,1
29,13,444,1
30,14,18,1
31,15,655,1
32,16,287,1
33,16,435,2
34,16,271,2
35,17,43,1
36,18,256,2
37,19,419,2
38,20,277,1
39,20,286,1
40,21,307,1
41,21,609,2
42,21,528,1
43,22,514,1
44,22,342,2
45,22,584,2
46,23,663,2
47,23,620,1
48,23,251,2
49,24,474,2
50,24,357,2
51,24,546,1
52,25,456,2
53,26,242,2
54,26,317,2
55,27,152,1
56,28,348,2
57,28,467,1
58,29,214,1
59,29,397,2
60,30,536,1
61,30,82,1
62,31,583,2
63,32,381,2
64,33,377,1
65,33,155,1
66,33,163,1
67,34,339,1
68,34,172,1
69,34,302,2
70,35,535,1
71,35,587,2
72,36,513,2
73,37,402,2
74,37,359,2
75,37,30,2
76,38,350,1
77,38,156,2
78,38,281,1
79,39,406,2
80,39,132,2
81,40,474,1
82,40,614,2
83,41,497,2
84,41,666,1
85,41,331,1
86,42,373,1
87,43,167,2
88,44,271,2
