id,order_id,product_id,price,quantity
1,1,334,3200000,1
2,1,321,4790000,2
3,2,292,1990000,2
4,2,112,5590000,2
5,3,362,1200000,2
6,4,23,150000,2
7,5,55,14590000,1
8,5,223,350000,1
9,6,530,2590000,1
10,6,100,1390000,2
11,7,205,495000,2
12,7,458,1490000,1
13,7,656,1160000,2
14,8,284,21690000,1
15,8,83,1590000,1
16,8,168,261000,1
17,9,177,3090000,2
18,9,352,190000,2
19,9,265,630000,2
20,10,102,7090000,1
21,10,25,150000,1
22,11,305,2390000,2
23,12,536,2490000,1
24,12,252,4490000,2
25,13,637,13190000,2
26,14,140,14500000,1
27,14,97,6500000,1
28,15,575,11990000,2
29,15,625,33690000,1
30,15,196,26590000,2
31,16,248,20390000,1
32,16,652,1390000,2
33,16,343,20090000,1
34,17,398,18990000,1
35,17,492,4590000,2
36,18,102,7090000,2
37,18,384,525000,2
38,18,137,9000000,1
39,19,142,17190000,2
40,19,520,550000,2
41,20,550,1400000,1
42,20,215,3690000,1
43,21,544,290000,2
44,21,191,12290000,2
45,21,425,200000,1
46,22,350,630000,1
47,23,90,8800000,1
48,23,532,5490000,2
49,23,640,17990000,1
